n;preco;bairro;tipo;endereco;cidade;quartos;suites;vagas;area;cobertura
2782;266000;INDETERMINADO;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;432;0
3086;266000;FRAGATA;Casa;Endereco Nao Informado;Pelotas RS;3;1;1;68;0
3087;266000;CENTRO;Apartamento;Marechal Deodoro da Fonseca;Pelotas RS;2;0;0;78;0
3154;266000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;0;63;0
3285;266000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;0;77;0
4049;266000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;0;63;0
4293;266000;AREAL;Loteamento/Condominio;Endereco Nao Informado;Pelotas RS;;0;0;390;0
4838;266000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;0;77;0
4976;266000;AREAL;Terreno Padrao;Rua Francisco Moreira;Pelotas RS;;0;0;;0
5307;266000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;0;60;0
5317;266000;RECANTO DE PORTUGAL;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;800;0
5516;266000;AREAL;Apartamento;Endereco Nao Informado;Pelotas RS;1;0;1;36;0
125;265000;AREAL;Casa;R Salvador Ferreira;Pelotas RS;3;0;2;120;0
165;265000;CENTRO;Apartamento;Rua Gomes Carneiro;Pelotas RS;2;0;0;74;0
504;265000;CENTRO;Apartamento;Joao Pessoa;Pelotas RS;2;0;1;65;0
598;265000;PORTO;Casa;Rua Bento Martins;Pelotas RS;2;0;0;77;0
759;265000;TRES VENDAS;Apartamento;;Pelotas RS;2;0;1;120;0
818;265000;AREAL;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;500;0
896;265000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;1;91;0
1000;265000;TRES VENDAS;Casa;Engenheiro Ildefonso Simoes Lopes;Pelotas RS;3;1;2;100;0
1050;265000;FRAGATA;Apartamento;;Pelotas RS;2;0;1;78;0
1078;265000;TRES VENDAS;Casa;Engenheiro Ildefonso Simoes Lopes;Pelotas RS;3;1;2;100;0
1158;265000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;0;100;0
1173;265000;TRES VENDAS;Casa;Rua Silva Paes;Pelotas RS;2;0;1;66;0
1231;265000;AREAL;Terreno Padrao;Avenida Sao Francisco de Paula;Pelotas RS;;0;0;;0
1271;265000;CENTRO;Casa;Bento Goncalves;Pelotas RS;3;0;5;;0
1303;265000;TRES VENDAS;Casa;;Pelotas RS;2;1;1;70;0
1654;265000;TRES VENDAS;Casa;Engenheiro Ildefonso Simoes Lopes;Pelotas RS;3;1;2;100;0
1857;265000;TRES VENDAS;Casa;;Pelotas RS;3;0;1;90;0
1915;265000;CENTRO;Apartamento;Rua Alvaro Chaves;Pelotas RS;2;0;0;80;0
2040;265000;TRES VENDAS;Casa;;Pelotas RS;2;0;2;170;0
2045;265000;Barragem;Terreno Padrao;Br 392 Km 73;Pelotas RS;;0;0;;0
2159;265000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;0;75;0
2235;265000;Cohab Tablada;Casa;Endereco Nao Informado;Pelotas RS;3;2;4;212;0
2287;265000;AREAL;Terreno Padrao;;Pelotas RS;;0;0;;0
2507;265000;FRAGATA;Casa;Endereco Nao Informado;Pelotas RS;2;0;2;76;0
2554;265000;CENTRO;Casa;Baldomero Trapaga;Pelotas RS;2;0;1;;0
2610;265000;AREAL;Terreno Padrao;Proximo Condominio Bandeirantes;Pelotas RS;;0;0;;0
2656;265000;AREAL;Casa;;Pelotas RS;3;1;3;200;0
2662;265000;AREAL;Terreno Padrao;;Pelotas RS;;0;0;;0
2708;265000;TRES VENDAS;Casa;Engenheiro Ildefonso Simoes Lopes;Pelotas RS;3;1;2;100;0
2789;265000;AREAL;Loteamento/Condominio;Endereco Nao Informado;Pelotas RS;;0;0;424;0
2800;265000;CENTRO;Apartamento;;Pelotas RS;2;0;1;90;0
2807;265000;FRAGATA;Casa;Endereco Nao Informado;Pelotas RS;2;0;3;122;0
2831;265000;LARANJAL;Casa;R Paulo de Souza Lobo;Pelotas RS;2;0;2;65;0
3017;265000;TRES VENDAS;Casa;Engenheiro Ildefonso Simoes Lopes;Pelotas RS;3;1;2;100;0
3186;265000;AREAL;Casa;;Pelotas RS;3;1;1;210;0
3195;265000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;2;0;0;115;0
3424;265000;FRAGATA;Casa;Presidente Affonso Augusto Moreira Penna;Pelotas RS;2;0;1;235;0
3511;265000;CENTRO;Apartamento;Dom Pedro II;Pelotas RS;1;1;0;;0
3596;265000;CENTRO;Apartamento;;Pelotas RS;2;0;0;75;0
3619;265000;CENTRO;Apartamento;;Pelotas RS;3;0;1;79;0
3806;265000;CENTRO;Apartamento;;Pelotas RS;3;0;0;117;0
3870;265000;CENTRO;Apartamento;Praca Cap Nestor Corbiniano de Andrade;Pelotas RS;2;0;1;70;0
3972;265000;CENTRO;Apartamento;Andrade Neves;Pelotas RS;2;0;1;93;0
4027;265000;FRAGATA;Apartamento;;Pelotas RS;2;0;1;78;0
4031;265000;TRES VENDAS;Casa;Rua Sao Paulo;Pelotas RS;2;0;2;80;0
4188;265000;TRES VENDAS;Casa;Engenheiro Ildefonso Simoes Lopes;Pelotas RS;3;1;2;100;0
4193;265000;AREAL;Casa;Mario Lopes Mota;Pelotas RS;2;0;2;170;0
4204;265000;TRES VENDAS;Casa;Rua Silva Paes;Pelotas RS;2;0;1;66;0
4348;265000;Barragem;Terreno Padrao;Br 392 Km 73;Pelotas RS;;0;0;;0
4363;265000;AREAL;Terreno Padrao;;Pelotas RS;;0;0;;0
4840;265000;AREAL;Terreno Padrao;Proximo Condominio Bandeirantes;Pelotas RS;;0;0;;0
4848;265000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;0;75;0
4950;265000;CENTRO;Apartamento;Rua Visconde de Ouro Preto;Pelotas RS;3;0;1;85;0
4960;265000;AREAL;Casa;;Pelotas RS;3;1;3;200;0
5123;265000;RECANTO DE PORTUGAL;Terreno Padrao;Cidade do Porto;Pelotas RS;;0;0;;0
5264;265000;TRES VENDAS;Terreno Padrao;Republica do Libano;Pelotas RS;;0;0;;0
5311;265000;AREAL;Terreno Padrao;Um Sao Francisco de Paula;Pelotas RS;;0;0;;0
5315;265000;AREAL;Terreno Padrao;Felipe dos Santos;Pelotas RS;;0;0;;0
5386;265000;TRES VENDAS;Terreno Padrao;Dois Loteamento Reinaldo Leitzke;Pelotas RS;;0;0;;0
5539;265000;TRES VENDAS;Terreno Padrao;Dois Loteamento Reinaldo Leitzke;Pelotas RS;;0;0;;0
3505;264900;LARANJAL;Casa;;Pelotas RS;2;0;1;121;0
25;262000;FRAGATA;Casa;Tv Profa Dulce Boeckel de Oliveira Motta;Pelotas RS;2;0;1;112;0
5313;262000;LARANJAL;Terreno Padrao;Um Sao Francisco de Paula;Pelotas RS;;0;0;;0
1108;260760;CENTRO;Apartamento;Rua Alm Barroso;Pelotas RS;1;0;0;42;1
